count,YearAcquired
1,1932
5,1934
5,1935
12,1936
12,1937
8,1938
6,1939
190,1940
87,1941
82,1942
17,1943
22,1944
7,1945
12,1946
88,1947
24,1948
40,1949
22,1950
76,1951
43,1952
16,1953
29,1954
10,1955
30,1956
11,1957
64,1958
72,1959
30,1960
36,1961
24,1962
55,1963
211,1964
240,1965
33,1966
215,1967
76,1968
192,1969
198,1970
47,1971
69,1972
133,1973
527,1974
45,1975
59,1976
182,1977
123,1978
195,1979
143,1980
77,1981
79,1982
106,1983
132,1984
154,1985
79,1986
103,1987
167,1988
112,1989
238,1990
124,1991
226,1992
458,1993
311,1994
505,1995
333,1996
252,1997
197,1998
183,1999
235,2000
731,2001
165,2002
94,2003
294,2004
950,2005
414,2006
331,2007
1803,2008
441,2009
337,2010
540,2011
1214,2012
540,2013
555,2014
688,2015
714,2016
386,2017
674,2018
