YearAcquired,Count
1932,1
1934,5
1935,5
1936,12
1937,12
1938,8
1939,6
1940,190
1941,87
1942,82
1943,17
1944,22
1945,7
1946,12
1947,88
1948,24
1949,40
1950,22
1951,76
1952,43
1953,16
1954,29
1955,10
1956,30
1957,11
1958,64
1959,72
1960,30
1961,36
1962,24
1963,55
1964,211
1965,240
1966,33
1967,215
1968,76
1969,192
1970,198
1971,47
1972,69
1973,133
1974,527
1975,45
1976,59
1977,182
1978,123
1979,195
1980,143
1981,77
1982,79
1983,106
1984,132
1985,154
1986,79
1987,103
1988,167
1989,112
1990,238
1991,124
1992,226
1993,458
1994,311
1995,505
1996,333
1997,252
1998,197
1999,183
2000,235
2001,731
2002,165
2003,94
2004,294
2005,950
2006,414
2007,331
2008,1803
2009,441
2010,337
2011,540
2012,1214
2013,540
2014,555
2015,688
2016,714
2017,386
2018,674
